ENGLISH CATEGORY,中文類別,ENGLISH NAME,中文名稱,NORTHING,EASTING,ENGLISH ADDRESS,中文地址,TELEPHONE,FAX NUMBER,OPENING HOURS,EMAIL ADDRESS,WEBSITE
Aided Primary Schools,資助小學,CHAN SUI KI (LA SALLE) PRIMARY SCHOOL,陳瑞祺(喇沙)小學,819974.3,836708.7,22 SHEUNG SHING STREET HOMANTIN KOWLOON,九龍九龍城常盛街22號,27116278,27140854,,,http://www.cskps.edu.hk
Aided Primary Schools,資助小學,CHRISTIAN ALLIANCE H C CHAN PRI SCH,香港九龍塘基督教中華宣道會陳元喜小學,825837,837331,CHUN SHEK ESTATE SHATIN NEW TERRITORIES,新界沙田秦石?,26998030,26031446,,,http://www.cahcc.edu.hk/
Aided Primary Schools,資助小學,MARYMOUNT PRIMARY SCHOOL,瑪利曼小學,813792,837677,"LG 1/F, G/F, 1/F, 2/F, 3/F & 4/F 336 TAI HANG ROAD WANCHAI HONG KONG",香港灣仔大坑道336號地庫1樓、地下、1樓、2樓、3樓及4樓,25728728,25724131,,,http://www.mps.edu.hk
Aided Primary Schools,資助小學,HING TAK SCHOOL,興德學校,830210,816166,HING PING ROAD TUEN MUN NEW TERRITORIES,新界屯門慶平路,24482211,24483098,,,http://www.hingtak.edu.hk
Aided Primary Schools,資助小學,TUNG TAK SCHOOL,通德學校,833542,824861,"SHING MUN SAN TSUEN, KAM TIN YUEN LONG NEW TERRITORIES",新界元朗錦田城門新村,24761101,24747045,,,http://www.ttsch.edu.hk/
Aided Primary Schools,資助小學,TUNG CHUNG CATHOLIC SCHOOL,東涌天主教學校,816021.8,811392.9,YAT TUNG (2) ESTATE 8 YAT TUNG STREET TUNG CHUNG LANTAU ISLAND NEW TERRITORIES,新界大嶼山東涌逸東街8號逸東(二)?,21094962,21094803,,,http://www.tccs.edu.hk
Aided Primary Schools,資助小學,STFA WU MIEN TUEN PRIMARY SCHOOL,順德聯誼總會伍冕端小學,836855,818135,"PRIMARY SCHOOL IN AREA 110 PHASE 4 TIN SHUI WAI, YUEN LONG NEW TERRITORIES",新界元朗天水圍第4期第110區小學,31570630,31570629,,,http://www.stfawmtps.edu.hk/
Aided Primary Schools,資助小學,TSUEN WAN TRADE ASSOCIATION PRI SCH,荃灣商會學校,823867,828628,ESTATE PRIMARY SCHOOL NO.1 TSING YI ESTATE AREA 1 TSING YI ISLAND NEW TERRITORIES,新界青衣青衣?第一期,24977911,24951133,,,http://www.twtaps.edu.hk
Aided Primary Schools,資助小學,LEE CHI TAT MEMORIAL SCHOOL,李志達紀念學校,840835,831559,"30 TIN PING ROAD SHEK WU HUI, SHEUNG SHUI NEW TERRITORIES",新界上水石湖墟天平道30號,26738581,26680223,,,http://www.lctms.edu.hk
Aided Primary Schools,資助小學,PLK VICWOOD KT CHONG NO.2 PRIMARY SCHOOL,保良局莊?程第二小學,829168,815210,TAI HING ESTATE TUEN MUN NEW TERRITORIES,新界屯門大興?,24621722,24627901,,,http://www.plkvktca.edu.hk
Aided Primary Schools,資助小學,PLK CHONG KEE TING PRIMARY SCHOOL,保良局莊?程小學,831150,841914,YIU ON ESTATE MA ON SHAN SHATIN NEW TERRITORIES,新界沙田馬鞍山耀安?,26410221,26414724,,,http://www.plkcktps.edu.hk/
Aided Primary Schools,資助小學,OBLATE PRIMARY SCHOOL,獻主會小學,819664.6,837806.8,1 SHUN FUNG STREET TOKWAWAN KOWLOON,九龍土瓜灣順風街一號,23648375,23648335,,,http://www.ops.edu.hk
Aided Primary Schools,資助小學,ST CHARLES SCHOOL,聖嘉祿學校,815747,831423,25 POKFIELD ROAD KENNEDY TOWN HONG KONG,香港堅尼地城蒲飛路25號,28173325,28177813,,,http://www.stcharles.edu.hk
Aided Primary Schools,資助小學,ST FRANCIS' CANOSSIAN SCHOOL,嘉諾撒聖方濟各學校,815140.1,835401.4,42 & 44 ST. FRANCIS STREET WANCHAI HONG KONG,香港灣仔聖佛蘭士街42號及44號,25281763,28657681,,,http://www.sfcs.edu.hk
Aided Primary Schools,資助小學,THE SALVATION ARMY LAM BUTT CHUNG MEM SCH,救世軍林拔中紀念學校,815881,811561,YAT TUNG ESTATE 8 YAT TUNG STREET TUNG CHUNG LANTAU ISLAND NEW TERRITORIES,新界大嶼山東涌逸東街8號逸東?,21090328,21090223,,,http://www.salbcms.edu.hk
Aided Primary Schools,資助小學,THE ELCHK WO CHE LUTHERAN SCHOOL,基督教香港信義會禾輋信義學校,827668,838017,WO CHE ESTATE SHATIN NEW TERRITORIES,新界沙田禾輋?,26911426,26911824,,,http://wcl.edu.hk/
Aided Primary Schools,資助小學,SKH YUEN CHEN MAUN CHEN PRIMARY SCHOOL,聖公會阮鄭夢芹小學,834214,835884,KWONG FUK ESTATE TAI PO NEW TERRITORIES,新界大埔廣福?,26589183,26506287,,,http://www.skhycmcps.edu.hk
Aided Primary Schools,資助小學,SAI KUNG SUNG TSUN CATH SCH (PRI SECT),西貢崇真天主教學校(小學部),827071,845902,"BLOCKS F & G, ANCILLARY BLOCK PO TUNG ROAD SAI KUNG NEW TERRITORIES",新界西貢普通道F座G座及附屬房舍,27922246,27926448,,,http://www.stcps.edu.hk
Aided Primary Schools,資助小學,CCC WANCHAI CHURCH KEI TO PS (KLN CITY),中華基督教會灣仔堂基道小學(九龍城),819624.5,837202.9,170 KAU PUI LUNG ROAD KOWLOON CITY KOWLOON,九龍九龍城靠背壟道170號,27147000,27147744,,,http://ktw.hkcampus.net
Aided Primary Schools,資助小學,KCBC HAY NIEN (YAN PING) PRI SCH,九龍城浸信會禧年(恩平)小學,825520,836804,SUN CHUI ESTATE SHATIN NEW TERRITORIES,新界沙田新翠?,26053811,26949781,,,http://www.hnyp.edu.hk
Aided Primary Schools,資助小學,IU SHAN SCHOOL,耀山學校,821226,837283,24 GRAMPIAN ROAD KOWLOON,九龍嘉林邊道24號,23362115,23363144,,,http://www.iushan.edu.hk
Aided Primary Schools,資助小學,KOWLOON CITY BAPTIST CH HAY NIEN PRI SCH,九龍城浸信會禧年小學,829562,840955,CHEVALIER GARDEN MA ON SHAN SHATIN NEW TERRITORIES,新界沙田馬鞍山富安花園,26411213,26400688,,,http://www.haynien.edu.hk
Aided Primary Schools,資助小學,TSUEN WAN CHIU CHOW PUBLIC SCHOOL,荃灣潮州公學,825917,829841,80 HOI PA STREET TSUEN WAN NEW TERRITORIES,新界荃灣海壩街80號,24905410,24904732,,,http://www.twccps.edu.hk/
Aided Primary Schools,資助小學,PENTECOSTAL YU LEUNG FAT PRIMARY SCHOOL,五旬節于良發小學,838027,832334,16 FAI MING ROAD FANLING NEW TERRITORIES,新界粉嶺暉明路16號,26795626,26765434,,,http://web.pylfps.edu.hk/
Aided Primary Schools,資助小學,PLK CHAN YAT PRIMARY SCHOOL,保良局陳溢小學,823497,828214,ESTATE PRIMARY SCHOOL NO.2 CHEUNG HONG ESTATE TSING YI NEW TERRITORIES,新界青衣長康?第二小學,24976073,24354695,,,http://www.plkcy.edu.hk
Aided Primary Schools,資助小學,LA SALLE PRIMARY SCHOOL,喇沙小學,820943.9,836720.4,1D LA SALLE ROAD KOWLOON,九龍喇沙利道1D號,23362609,23363153,,,http://www.la-salle.edu.hk
Aided Primary Schools,資助小學,SKH CHU OI PRIMARY SCHOOL,聖公會主愛小學,825753,832435,45 TUNG CHI STREET SHEK YAM KWAI CHUNG NEW TERRITORIES,新界葵涌石蔭童子街45號,24267424,24272233,,,http://www.chuoi.edu.hk
Aided Primary Schools,資助小學,BISHOP PASCHANG CATHOLIC SCHOOL,天主教柏德學校,821072,839460,PRIMARY SCHOOL AT WANG CHIU ROAD KOWLOON BAY KOWLOON,九龍九龍灣宏照道小學,27993003,27990208,,,http://bpcs.edu.hk/
Aided Primary Schools,資助小學,CCC KEI CHUN PRIMARY SCHOOL,中華基督教會基真小學,822587,832134,11 WA LAI PATH KWAI CHUNG NEW TERRITORIES,新界葵涌華荔徑11號,27419907,27853732,,,http://www.keichun.edu.hk
Aided Primary Schools,資助小學,CHIU YANG PRIMARY SCHOOL OF HONG KONG,香港潮陽小學,834706,818554,"TIN YIU ESTATE, PHASE III TIN SHUI WAI , YUEN LONG NEW TERRITORIES",新界元朗天水圍天耀?第三期,24463018,24486756,,,http://www.cyps.edu.hk
Aided Primary Schools,資助小學,HK INST OF EDU JOCKEY CLUB PRI SCH,香港教育學院賽馬會小學,836683,838081,10 LO PING ROAD TAI PO NEW TERRITORIES,新界大埔露屏路10號,29481122,29481121,,,http://www.iedjcps.edu.hk
Aided Primary Schools,資助小學,KING LAM CATHOLIC PRIMARY SCHOOL,景林天主教小學,820150,844860,KING LAM ESTATE TSEUNG KWAN O NEW TERRITORIES,新界將軍澳景林?,27030499,27040977,,,http://www.klcps.edu.hk
Aided Primary Schools,資助小學,TW PUB HO CHUEN YIU MEM PRIMARY SCHOOL,荃灣公立何傳耀紀念小學,826246,830986,ESTATE PRIMARY SCHOOL NO 1 SHEK WAI KOK ESTATE TSUEN WAN NEW TERRITORIES,新界荃灣石圍角?屋?第一小學,24902047,24986981,,,http://www.twpsch.edu.hk
Aided Primary Schools,資助小學,STFA WU SIU KUI MEMORIAL PRIMARY SCHOOL,順德聯誼總會胡少渠紀念小學,827478,815690,ESTATE PRIMARY SCHOOL NO 3 ON TING ESTATE TUEN MUN NEW TERRITORIES,新界屯門安定?屋?小學第三校舍,24503833,26183132,,,
Aided Primary Schools,資助小學,BUI O PUBLIC SCHOOL,杯澳公立學校,811599,815581,"DD 316 LOT 2724 (PT) 2 LO UK VILLAGE PUI O, LANTAU ISLAND NEW TERRITORIES",新界大嶼山貝澳羅屋村2號第316約第2724號地段(部份)(儲物室包括在內),29841189,29842445,,,http://www.buiosch.edu.hk
Aided Primary Schools,資助小學,KING'S COLL OLD BOYS' ASSN PRI SCH NO. 2,英皇書院同學會小學第二校,816126,833270,40 PO HING FONG SHEUNG WAN HONG KONG,香港上環普慶坊40號,25477575,25473555,,,http://www.kcobaps2.edu.hk
Aided Primary Schools,資助小學,YCH CHAN IU SENG PRIMARY SCHOOL,仁濟醫院陳耀星小學,819601,845613,YUK MING COURT TSEUNG KWAN O NEW TERRITORIES,新界將軍澳煜明苑,27061932,27064872,,,http://www.ychcisps.edu.hk
Aided Primary Schools,資助小學,YL LONG PING ESTATE TUNG KOON PRI SCH,元朗朗屏?東莞學校,834702,820492,LONG PING ESTATE YUEN LONG NEW TERRITORIES,新界元朗朗屏?,24762433,24747225,,,http://www.tkps.edu.hk
Aided Primary Schools,資助小學,C & M ALLIANCE CHUI CHAK LAM MEM SCHOOL,基督教宣道會徐澤林紀念小學,833548,821338,KIN TAK STREET YUEN LONG NEW TERRITORIES,新界元朗建德街,23813904,29443325,,,http://www.ccl.edu.hk
